step	slope	intercept	MAE_all_next	MAE_last_5	last_actual	last_pred
[17300]	-2.172683488765297e-05	3.660387766302634	0.01810492796548208	0.049689690627511496	3.058030531	3.008582719673045
[17400]	-2.3191110556173562e-05	3.684959847470969	0.024343770453666654	0.06838695546395974	3.058030531	2.9892265307857624
[17500]	-1.8555372393770898e-05	3.61060875268669	0.018245621204767914	0.015067573239384657	3.058030531	3.053947580873563
[17600]	-2.0260110469410474e-05	3.637169622147646	0.014745980293681758	0.030781298502217426	3.058030531	3.029366308065332
[17700]	-2.1461025259176874e-05	3.6574277429949573	0.01676128956142758	0.04479503941371932	3.058030531	3.0135969852196514
[17800]	-2.094670056507231e-05	3.6477706073722658	0.015821263141017762	0.03925388032562105	3.058030531	3.0193695904200966
[17900]	-2.0409604037819797e-05	3.638790783988802	0.015155888526246407	0.033025871664909445	3.058030531	3.026502662854208
[18000]	-1.8239234315906558e-05	3.603804111361587	0.018986059774339245	0.01403687078517617	3.058030531	3.05662708188439
[18100]	-2.0512795023359265e-05	3.642357569638931	0.015089621685956895	0.03261703759223607	3.058030531	3.0269737189381534
[18200]	-2.1112682923248006e-05	3.6535301978310706	0.0157455280229548	0.03839906855090804	3.058030531	3.0201497101336305
[18300]	-2.379943976863177e-05	3.699808582634778	0.025375903662805743	0.07151434852829061	3.058030531	2.985825389575825
[18400]	-2.339729349499439e-05	3.6954751045401553	0.021903010359493387	0.06396440423692899	3.058030531	2.9935562996903236
[18500]	-2.39970508120133e-05	3.707541270344827	0.02367901306242883	0.06962106715016617	3.058030531	2.987629745984428
[18600]	-2.0522522507230226e-05	3.6458398642323315	0.015003981626277755	0.03006164601041892	3.058030531	3.0301641890154247
[18700]	-2.265939648498329e-05	3.682359224232629	0.019226892177289873	0.055275427898627424	3.058030531	3.00257732968313
[18800]	-1.93599049677419e-05	3.6241651120903215	0.01562758963877286	0.019859038213548442	3.058030531	3.0433679630580643
[18900]	-2.0446898731924345e-05	3.64342206487208	0.015087087205618998	0.03020435826162391	3.058030531	3.0300151029143496
[19000]	-1.93268459154616e-05	3.6242158721163515	0.016056227553793337	0.019035261244204182	3.058030531	3.0444104946525035
[19100]	-1.9730608820912124e-05	3.6306218415890985	0.01524976686123066	0.023475628896129485	3.058030531	3.0387035769617348
[19200]	-1.8304054836484982e-05	3.6050881715809417	0.019511653663308436	0.01429266627670014	3.058030531	3.0559665264863924
[19300]	-1.8339281132369302e-05	3.604471409312792	0.018527589425205437	0.014957507316106922	3.058030531	3.054292975341713
[19400]	-1.964488282536153e-05	3.626417613981906	0.014775671495178286	0.024808162147289804	3.058030531	3.03707112922106
[19500]	-2.0225216914349286e-05	3.6359324861373388	0.014910306527014378	0.030944378991063635	3.058030531	3.02917597870686
[19600]	-1.6578767230255835e-05	3.5695036422958104	0.025159081014759006	0.013784795584397536	3.058030531	3.072140625388135
[19700]	-1.805448277196886e-05	3.597156415388432	0.01844106697755716	0.014502948347897514	3.058030531	3.0555219322293663
[19800]	-1.6312819583982186e-05	3.5646154174660736	0.027125712148897793	0.015549236986718996	3.058030531	3.075230829946608
[19900]	-1.8150430416017803e-05	3.5988261677088613	0.018264518753856436	0.01497394595458692	3.058030531	3.054313255228327
[20000]	-1.962252733704117e-05	3.626917374435447	0.01526596892662212	0.02387875226614793	3.058030531	3.0382415543242116
[20100]	-1.9134359259176868e-05	3.617941773816982	0.01602309282250529	0.019494530996314374	3.058030531	3.043910996041676
[20200]	-2.1610717988876518e-05	3.6640939879581014	0.016938205628558623	0.0425522146131998	3.058030531	3.0157724482918056
[20300]	-2.2484594182424935e-05	3.6820187139720435	0.018839825526777737	0.050450530118613376	3.058030531	3.0074808884992956
[20400]	-2.259976433147946e-05	3.6841798971815356	0.01940358533388281	0.05169262481368246	3.058030531	3.0061869672371517
[20500]	-2.1723275030033417e-05	3.6661442778554694	0.017442871160137215	0.043827985282018166	3.058030531	3.0144460269544666
[20600]	-2.1674907779755313e-05	3.667146265815648	0.01675028764266029	0.04139674507612159	3.058030531	3.0168990324229883
[20700]	-2.234483031590657e-05	3.679862432414535	0.018532720255689777	0.04847678942050435	3.058030531	3.0095175229373377
[20800]	-2.4814887868743055e-05	3.7279123790935116	0.02746304882592758	0.07341704342784579	3.058030531	2.98346574303122
[20900]	-2.3693081942157946e-05	3.7073017188083055	0.022317763779139067	0.06087833858246183	3.058030531	2.9965092605435673
[21000]	-2.350588028476083e-05	3.7022688527004077	0.02231973143462815	0.060379395714274774	3.058030531	2.997092444157583
[21100]	-2.5331358751946595e-05	3.7378406017090846	0.030172153359663983	0.07875053541093732	3.058030531	2.9778998391506866
[21200]	-2.239431779087873e-05	3.6809963064031894	0.018344667122271157	0.048805270317277036	3.058030531	3.0091667726768274
[21300]	-2.1894871263626225e-05	3.671929252749648	0.016829310326450037	0.043113679090507076	3.058030531	3.015083114840861
[21400]	-1.9858727597330322e-05	3.629992402133407	0.014774076447262094	0.027014314274029692	3.058030531	3.0342305742134976
[21500]	-1.69203755016685e-05	3.5709379183417878	0.021384487138689293	0.012587718326436593	3.058030531	3.0633266532917327
[21600]	-2.013930522803112e-05	3.634256797878162	0.014485114724575759	0.03024968174952778	3.058030531	3.030077641037228
[21700]	-2.251185141045604e-05	3.6822397628284027	0.019071570405622056	0.051034932350573256	3.058030531	3.0068842205147215
[21800]	-2.226629936596215e-05	3.676861280197331	0.0186964285227624	0.04915735206685077	3.058030531	3.008872299218466
[21900]	-2.3047612714126775e-05	3.692534120237227	0.02141074349850522	0.05657232146521936	3.058030531	3.0011057388134237
[22000]	-2.3365987497219095e-05	3.6978309213345195	0.02331735750411103	0.06068349520830485	3.058030531	2.9968512964179466
[22100]	-2.3332128068965483e-05	3.697884336257471	0.02288778368752255	0.05962953418045913	3.058030531	2.9979204941885067
[22200]	-2.284346515016684e-05	3.687356868832629	0.021693415283807554	0.05571701235480133	3.058030531	3.002052914327624
[22300]	-2.4272645862068966e-05	3.7173981202574713	0.0272477400000686	0.06790805096666674	3.058030531	2.9892187443954024
[22400]	-2.5160088493882096e-05	3.7376477676801634	0.0297524615472477	0.07388233331405267	3.058030531	2.9828451128637004
[22500]	-2.6641468507230256e-05	3.7696456968771974	0.03564103601370027	0.08565918351145667	3.058030531	2.9704016416602896
[22600]	-2.4594090177975505e-05	3.726328789497516	0.02772785841446576	0.06847606126166031	3.058030531	2.9885060841582507
[22700]	-2.3375686315906564e-05	3.7009847267796814	0.022943740273665515	0.057816289855357625	3.058030531	2.9997141373024845
[22800]	-2.524994235372636e-05	3.7396478266520576	0.030913903898930863	0.07453745590055635	3.058030531	2.982149556040267
[22900]	-2.4824437308120144e-05	3.731167798925844	0.02905849033175294	0.07044380952910645	3.058030531	2.9864346796822394
[23000]	-2.6306676578420464e-05	3.7621884326649613	0.03573940065003684	0.08322334622736345	3.058030531	2.9729881353123475
[23100]	-2.50417371234705e-05	3.7351296378231367	0.030834942148379244	0.0729031801754167	3.058030531	2.9838775241190216
[23200]	-2.7767925085650688e-05	3.794446269479569	0.04193980411803399	0.09414540280140882	3.058030531	2.9614085169100486
[23300]	-2.3441551652947703e-05	3.701419219483574	0.023622311551590093	0.05932811786103054	3.058030531	2.998172669895143
